 PATH                                                                                                                                                                     | SIZE      | CREATED    | MODIFIED   | PLEN | FLEN 
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/urlhandler/protocol_spy.py                                                                                | 9130      | 1749664750 | 1749664750 | 89   | 15   
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/urlhandler/protocol_socket.py                                                                             | 14299     | 1749664750 | 1749664750 | 92   | 18   
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/urlhandler/__init__.py                                                                                    | 0         | 1749664750 | 1749664750 | 85   | 11   
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/urlhandler/protocol_alt.py                                                                                | 2033      | 1749664750 | 1749664750 | 89   | 15   
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/urlhandler/protocol_cp2110.py                                                                             | 8540      | 1749664750 | 1749664750 | 92   | 18   
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/urlhandler/protocol_hwgrep.py                                                                             | 3159      | 1749664750 | 1749664750 | 92   | 18   
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/urlhandler/protocol_loop.py                                                                               | 10623     | 1749664750 | 1749664750 | 90   | 16   
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/urlhandler/__pycache__/protocol_hwgrep.cpython-313.pyc                                                    | 3301      | 1749664750 | 1749664750 | 117  | 31   
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/urlhandler/__pycache__/protocol_alt.cpython-313.pyc                                                       | 2397      | 1749664750 | 1749664750 | 114  | 28   
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/urlhandler/__pycache__/protocol_rfc2217.cpython-313.pyc                                                   | 291       | 1749664750 | 1749664750 | 118  | 32   
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/urlhandler/__pycache__/protocol_socket.cpython-313.pyc                                                    | 16700     | 1749664750 | 1749664750 | 117  | 31   
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/urlhandler/__pycache__/protocol_loop.cpython-313.pyc                                                      | 14776     | 1749664750 | 1749664750 | 115  | 29   
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/urlhandler/__pycache__/protocol_spy.cpython-313.pyc                                                       | 15505     | 1749664750 | 1749664750 | 114  | 28   
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/urlhandler/__pycache__/protocol_cp2110.cpython-313.pyc                                                    | 10836     | 1749664750 | 1749664750 | 117  | 31   
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/urlhandler/__pycache__/__init__.cpython-313.pyc                                                           | 182       | 1749664750 | 1749664750 | 110  | 24   
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/__pycache__/rs485.cpython-313.pyc                                                                         | 3867      | 1749664750 | 1749664750 | 96   | 21   
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/__pycache__/serialutil.cpython-313.pyc                                                                    | 27404     | 1749664750 | 1749664750 | 101  | 26   
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/__pycache__/win32.cpython-313.pyc                                                                         | 9502      | 1749664750 | 1749664750 | 96   | 21   
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/__pycache__/serialjava.cpython-313.pyc                                                                    | 13042     | 1749664750 | 1749664750 | 101  | 26   
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/__pycache__/__main__.cpython-313.pyc                                                                      | 261       | 1749664750 | 1749664750 | 99   | 24   
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/__pycache__/serialposix.cpython-313.pyc                                                                   | 41963     | 1749664750 | 1749664750 | 102  | 27   
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/__pycache__/serialwin32.cpython-313.pyc                                                                   | 26469     | 1749664750 | 1749664750 | 102  | 27   
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/__pycache__/rfc2217.cpython-313.pyc                                                                       | 61656     | 1749664750 | 1749664750 | 98   | 23   
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/__pycache__/serialcli.cpython-313.pyc                                                                     | 12718     | 1749664750 | 1749664750 | 100  | 25   
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/__pycache__/__init__.cpython-313.pyc                                                                      | 3022      | 1749664750 | 1749664750 | 99   | 24   
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/win32.py                                                                                                  | 11138     | 1749664750 | 1749664750 | 71   | 8    
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/serialjava.py                                                                                             | 8480      | 1749664750 | 1749664750 | 76   | 13   
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/tools/__init__.py                                                                                         | 0         | 1749664750 | 1749664750 | 80   | 11   
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/tools/list_ports_linux.py                                                                                 | 4503      | 1749664750 | 1749664750 | 88   | 19   
